displayName,totalXp,userId,username
Ademar,223616,34871828,AdemardeCa1
Tamara Oliveira,91793,894236585,tamaravoliveira
Paulo Freitas,87656,109998083,PauloSFJunior
Fernando Motta,62364,5790072,mottafernando
Christian Silva,36685,290718331,ChristianS359585
Vivian,30266,231825157,VivianMascarin
Lucas Tamura,15053,280512491,lucas.tamura
Marcio,11517,235788111,Marcio78837
Cristhian gabriel,9792,1593840463,Ratazanaleke
Shima,8560,464273220,Shimaroots
Kiq,6976,857451825,Kiq4094
Kenji Umeki,3617,709312511,kenjiumeki
Lucas Gimenez,2789,1162115602,Lucas-Gimenez
Gerson,1466,957254908,Gerson917919
Erick Cirico,1294,1679509058,ErickCiric
Bruno Dourado,762,1694792051,Brunodourado01
